Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10pF,
"C10, C11, C12, C13, C14, C17, C20, C27, C28, C30, C31, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C79, C8, C80, C9",0603,50,100nF,
"C15, C16, C24, C26",0805,4,4.7uF,
"C18, C19, C21, C22, C23, C32, C33, C34",1206,8,22uF,
"C25, C29, C56, C78",0603,4,1uF,
"C3, C4",0603,2,2.2u,
"C35, C36, C37, C38, C39, C51, C52, C53, C54, C55",0603,10,100nF,C14663
"D1, D2, D3, D4",0805,4,LED,
FB1,0603,1,380mΩ ±25% 600Ω@100MHz 0603 Ferrite Beads ROHS,
"J1, J10, J2, J3, J7, J9",CONN-TH_8P-P3.81_WJ15EDGRC-3.81-8P,6,Screw_Terminal_01x08,
"J11, J22",CONN-TH_WJ15EDGRC-3.81-4P,2,Screw_Terminal_01x04x3,
"J12, J21, J6, J8",CONN-TH_2P-P3.81_WJ15EDGRC-3.81-2P,4,Screw_Terminal_01x02,
J13,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,
"J14, J15, J18, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J40, J41, J42",PinHeader_1x03_P2.54mm_Vertical,23,Conn_01x03_Pin,
"J16, J17, J20",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J19,CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,1,Screw_Terminal_01x02x5,
"J4, J5",CONN-TH_WJ15EDGRC-3.81-6P,2,Screw_Terminal_01x06,
J43,USB-B_TH_BF90,1,USB_B,
J44,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
L1,L_12x12mm_H8mm,1,12uH,
L2,L_12x12mm_H8mm,1,6.8uH,
"R1, R100, R101, R102, R103, R105, R106, R107, R108, R2, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R98, R99",0603,26,10K,
R10,0603,1,13.7K,
"R104, R11, R28, R29, R30, R31, R32, R33, R34, R35, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97",0603,42,1K,
"R12, R13, R14, R15, R50, R51, R52, R53",0603,8,470K,C23178
"R16, R17, R18, R19, R21, R23, R25, R27, R54, R55, R56, R57, R59, R61, R63, R65",0603,16,10K,C25804
"R20, R22, R24, R26, R58, R60, R62, R64",0603,8,5.6K,C23189
R4,0603,1,680,
"R5, R9",0603,2,100K,
R6,0603,1,5.23K,
R7,0603,1,2.4K,
R8,0603,1,47,
RV1,RES-ADJ-SMD_G43AT,1,2K,
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,
"U10, U11, U12, U13, U14, U21, U22, U23, U8, U9",SOT-363_SC-70-6,10,74HC2G34,
"U15, U6",TSSOP-14_4.4x5mm_P0.65mm,2,MCP6004,C50282
U16,SOP-18_7.495x11.515mm_P1.27mm,1,ULN2803A,
"U17, U18, U19, U20, U7",SOP-16_4.4x10.4mm_P1.27mm,5,ELQ3H4(TA)-G,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3078E,
U24,SOT-666,1,USBLC6-2P6,
U25,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U26,TSSOP-20_4.4x6.5mm_P0.65mm,1,SN74LVC245APW,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U4, U5",SOT-23-6,2,LMR51430,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,
